stat,rv,ex,LB1,UB1,PR1,LB2,UB2,PR2,LB3,UB3,PR3,LB4,UB4,PR4,LB5,UB5,PR5,LB6,UB6,PR6,LB7,UB7,PR7,LB8,UB8,PR8,LB9,UB9,PR9,LB10,UB10,PR10,LB11,UB11,PR11,LB12,UB12,PR12,LB13,UB13,PR13,LB14,UB14,PR14,LB15,UB15,PR15,LB16,UB16,PR16,LB17,UB17,PR17,LB18,UB18,PR18
nfp,308,110,-9999,-50,1.7,-50,-25,1.7,-25,0,3.6,0,25,4,25,50,12,50,75,7.19,75,100,7.5,100,125,9,125,150,9.5,150,175,8.49,175,200,8.2,200,225,5.8,225,250,4.4,250,275,3.5,275,300,3.2,300,9999,10.22,9999,9999,9999,9999,9999,9999
nfp,288,181,-9999,25,3.2,25,50,5.1,50,75,11.4,75,100,5.3,100,125,6.3,125,150,9.2,150,175,5,175,200,7.5,200,225,9.7,225,250,7.8,250,275,4.5,275,300,5,300,325,5,325,9999,15,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
nfp,248,217,-9999,75,3.9,75,100,2.5,100,125,4.6,125,150,7.9,150,175,5.5,175,200,12.6,200,225,5,225,250,7.5,250,275,7.3,275,300,8.2,300,325,7,325,350,3.61,350,375,8.99,375,400,3.4,400,425,1.7,425,9999,10.3,9999,9999,9999,9999,9999,9999
nfp,112,236,-9999,75,5.39,75,100,2.61,100,125,6.7,125,150,4.3,150,175,13,175,200,10,200,225,7.2,225,250,15,250,275,7.2,275,300,6.6,300,325,6.8,325,350,6.62,350,375,3.4,375,400,2.4,400,425,1.6,425,9999,1.18,9999,9999,9999,9999,9999,9999
nfp,32,231,-9999,100,8.5,100,125,6.6,125,150,7.1,150,175,7.9,175,200,8,200,225,8.8,225,250,8,250,275,8.2,275,300,7.4,300,325,7.4,325,350,4.9,350,375,6.1,375,400,4.8,400,9999,6.3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
nfp,144,158,-9999,0,11,0,25,3.5,25,50,7.8,50,75,4.7,75,100,6,100,125,7.1,125,150,8.7,150,175,9,175,200,8.7,200,225,5.5,225,250,4.5,250,275,6.91,275,300,5.09,300,9999,11.5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
nfp,96,138,-9999,-25,13,-25,0,3.5,0,25,8.5,25,50,7.3,50,75,8.2,75,100,9.3,100,125,7.7,125,150,7,150,175,6.5,175,200,6,200,225,6.4,225,250,3.49,250,275,3.51,275,300,2.6,300,325,1.9,325,9999,5.1,9999,9999,9999,9999,9999,9999
nfp,337,184,-9999,0,3,0,25,3.9,25,50,5,50,75,7.3,75,100,6.2,100,125,8.5,125,150,9.2,150,175,9,175,200,10.3,200,225,8.1,225,250,7.9,250,275,6.7,275,300,3.8,300,325,2.5,325,350,5.1,350,9999,2.9,9999,9999,9999,9999,9999,9999
nfp,112,197,-9999,50,6.7,50,75,3.3,75,100,3.3,100,125,5,125,150,7.7,150,175,8.8,175,200,10,200,225,9.2,225,250,8.5,250,275,6.8,275,300,6.4,300,325,4.5,325,350,5.5,350,375,5.6,375,400,4.7,400,9999,4,9999,9999,9999,9999,9999,9999
nfp,157,185,-9999,0,3.5,0,25,5,25,50,6.5,50,75,4.3,75,100,8.2,100,125,6.5,125,150,15,150,175,7.5,175,200,7.6,200,225,6.4,225,250,6.1,250,275,7.7,275,300,5,300,325,2.8,325,350,3.5,350,9999,4.4,9999,9999,9999,9999,9999,9999
nfp,146,182,-9999,25,5.2,25,50,6.8,50,75,3,75,100,5,100,125,5.9,125,150,7.1,150,175,11.3,175,200,9.6,200,225,7.5,225,250,7.6,250,275,7.3,275,300,6.6,300,325,5.8,325,350,4.5,350,375,3.2,375,9999,3.6,9999,9999,9999,9999,9999,9999
nfp,262,217,-9999,25,3.2,25,50,1.5,50,75,2.2,75,100,3,100,125,5.7,125,150,4.7,150,175,11.1,175,200,6,200,225,7,225,250,7,250,275,8,275,300,10,300,325,5,325,350,7.5,350,375,2.6,375,400,2.9,400,425,2.5,425,9999,10
nfp,110,219,-9999,25,1.9,25,50,1.6,50,75,2.5,75,100,5,100,125,7.5,125,150,11.5,150,175,9,175,200,11,200,225,11,225,250,9,250,275,6.4,275,300,5.8,300,325,4.4,325,350,3.6,350,375,3.3,375,400,2.8,400,425,2.2,425,9999,1.5
nfp,274,176,-9999,0,1.1,0,25,1.3,25,50,3.1,50,75,4.2,75,100,5.2,100,125,11.1,125,150,10.5,150,175,12,175,200,10,200,225,9.6,225,250,6.9,250,275,5.6,275,300,4.8,300,325,3.6,325,350,5.7,350,9999,5.4,9999,9999,9999,9999,9999,9999
nfp,78,181,-9999,0,3.8,0,25,1.9,25,50,3.6,50,75,4.4,75,100,7.1,100,125,11.7,125,150,9.5,150,175,9.5,175,200,10.4,200,225,8.1,225,250,8,250,275,6.1,275,300,6.1,300,325,4.1,325,350,2.7,350,9999,3.2,9999,9999,9999,9999,9999,9999
ism,48.5,49.03,-9999,44,5.12,44,45,8.38,45,46,12.5,46,46.5,7.5,46.5,47,8.5,47,47.4,7.66,47.4,47.7,5.81,47.7,48,5.73,48,48.3,4.31,48.3,48.6,4.03,48.6,49,4.85,49,49.5,4.05,49.5,50,5.05,50,51,10,51,52,4.52,52,9999,1.98,9999,9999,9999,9999,9999,9999
ism,49.2,50.64,-9999,46,0.91,46,47,1.85,47,47.5,1.74,47.5,48,2.45,48,48.5,5.43,48.5,49,7.12,49,49.5,6,49.5,50,4.5,50,50.5,11,50.5,51,5.71,51,51.5,14.79,51.5,52,5.71,52,52.5,7.92,52.5,53,6.91,53,54,10.48,54,9999,7.47,9999,9999,9999,9999,9999,9999
ism,53.9,53.65,-9999,49,0.6,49,50,6.6,50,51,11.3,51,51.5,7,51.5,52,7,52,52.5,7,52.5,53,6.7,53,53.5,5.8,53.5,54,8.1,54,54.5,5.4,54.5,55,6,55,56,16.7,56,57,7.91,57,9999,3.89,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
ism,50.5,52.17,-9999,48,2.04,48,49,4,49,49.5,3.07,49.5,50,3.89,50,50.5,4.83,50.5,51,7.47,51,51.5,8.57,51.5,52,9.44,52,52.5,9.7,52.5,53,9.98,53,53.5,11.83,53.5,54,7.17,54,54.5,4.66,54.5,55,3.95,55,56,5.73,56,9999,3.66,9999,9999,9999,9999,9999,9999
ism,46.2,49.07,-9999,45,5,45,46,9,46,46.5,4.65,46.5,47,6.35,47,47.5,8,47.5,48,10.49,48,48.5,13.5,48.5,49,15.31,49,49.5,7.4,49.5,50,3.5,50,50.5,6.1,50.5,51,4.9,51,51.5,3,51.5,52,1.6,52,53,0.7,53,9999,0.5,9999,9999,9999,9999,9999,9999
ism,45.4,47.06,-9999,43,1.79,43,44,4,44,44.5,3.74,44.5,45,5.28,45,45.5,6.95,45.5,46,8.55,46,46.5,9.81,46.5,47,10.51,47,47.5,10.51,47.5,48,7.7,48,48.5,7.33,48.5,49,6.4,49,49.5,5.19,49.5,50,4.11,50,51,5.28,51,9999,2.83,9999,9999,9999,9999,9999,9999
ism,49.4,48.68,-9999,43,0.1,43,44,0.3,44,44.5,0.6,44.5,45,1.2,45,45.5,2.2,45.5,46,3.7,46,46.5,5.6,46.5,47,6.3,47,47.5,6.9,47.5,48,7.3,48,48.5,7.4,48.5,49,18.34,49,49.5,14.27,49.5,50,8.79,50,51,12.7,51,9999,4.3,9999,9999,9999,9999,9999,9999
ism,49.8,50.92,-9999,47,1.53,47,48,3.43,48,48.5,3.21,48.5,49,4.53,49,49.5,5.96,49.5,50,7.33,50,50.5,12,50.5,51,7.2,51,51.5,8,51.5,52,8.4,52,52.5,9.4,52.5,53,7.8,53,53.4,7.4,53.4,54,5.95,54,55,6.15,55,9999,1.7,9999,9999,9999,9999,9999,9999
ism,51.8,51.15,-9999,48,3.6,48,49,5.13,49,49.5,4.18,49.5,50,5.55,50,50.5,7.07,50.5,51,8.67,51,51.5,11.57,51.5,52,14.03,52,52.5,6.7,52.5,53,6.4,53,53.5,6,53.5,54,5.3,54,54.5,4.5,54.5,55,3.4,55,56,4.54,56,9999,3.36,9999,9999,9999,9999,9999,9999
ism,54.7,53.62,-9999,49,0.11,49,50,0.39,50,50.5,0.6,50.5,51,1.3,51,51.5,1.7,51.5,52,2.57,52,52.5,3.63,52.5,53,6.8,53,53.5,7.7,53.5,54,8.3,54,54.5,16.9,54.5,55,7.9,55,55.5,10.1,55.5,56,11,56,57,12,57,9999,9,9999,9999,9999,9999,9999,9999
ism,53.7,54.76,-9999,50,2.1,50,51,3.5,51,51.5,4.18,51.5,52,15.22,52,52.5,6.9,52.5,53,10.2,53,53.5,11.9,53.5,54,12.6,54,54.5,7.6,54.5,55,7,55,55.5,6.3,55.5,56,4.5,56,56.5,2.6,56.5,57,1.4,57,58,2.83,58,9999,1.17,9999,9999,9999,9999,9999,9999
ism,57,55.4,-9999,51,0.45,51,52,1.19,52,52.5,1.22,52.5,53,1.84,53,53.5,2.81,53.5,54,4.5,54,54.5,6.5,54.5,55,7.6,55,55.5,8.5,55.5,56,9.4,56,56.5,12.37,56.5,57,8.6,57,57.5,7.8,57.5,58,6.7,58,59,17.23,59,9999,3.3,9999,,9999,9999,9999,9999
ism,62.8,57.64,-9999,53,1.35,53,53.5,1.01,53.5,54,1.52,54,54.5,2.15,54.5,55,2.83,55,55.5,3.48,55.5,56,4,56,56.5,4.28,56.5,57,6,57,57.5,6.8,57.5,58,7.4,58,58.5,7.7,58.5,59,7.8,59,59.5,7.66,59.5,60,13,60,9999,23,9999,,9999,9999,9999,9999
ism,63.6,63.27,-9999,60,4,60,60.5,0.74,60.5,61,1.37,61,61.5,2.6,61.5,62,5.29,62,62.5,3,62.5,63,4.5,63,63.5,5.5,63.5,64,6.5,64,64.5,6.6,64.5,65,6.9,65,65.5,16.81,65.5,66,10.31,66,66.5,6.98,66.5,67,5.6,67,67.5,4.8,67.5,68,3.5,68,9999,5
ism,61.4,61.68,-9999,58,5.9,58,59,8.85,59,60,11.74,60,61,13.6,61,62,32.26,62,63,14.25,63,64,7,64,65,3.8,65,66,1.7,66,9999,0.9,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
ism,62.5,60.2,-9999,56,4,56,56.5,2.2,56.5,57,3.59,57,57.5,7.71,57.5,58,7.5,58,58.5,6.9,58.5,59,6.4,59,59.5,6.7,59.5,60,6.8,60,60.5,18.2,60.5,61,10.1,61,61.5,5.8,61.5,62,4.1,62,62.5,3.2,62.5,63,2.4,63,9999,4.4,9999,9999,9999,9999,9999,9999
ism,62.4,62.7,-9999,58,1.04,58,58.5,0.95,58.5,59,1.61,59,59.5,2.56,59.5,60,3.84,60,60.5,5.4,60.5,61,7.14,61,61.5,9.2,61.5,62,10.38,62,62.5,11.39,62.5,63,7.5,63,63.5,7.2,63.5,64,6.6,64,64.5,7.64,64.5,65,4.56,65,9999,13,9999,9999,9999,9999,9999,9999
ism,62.8,61.6,-9999,58,0.8,58,59,3.07,59,60,6.93,60,61,17.05,61,62,22.35,62,63,14.8,63,64,17.7,64,65,10.1,65,66,4.9,66,9999,2.3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
ism,61.1,61.8,-9999,57,2.41,57,57.5,1.86,57.5,58,4.35,58,58.5,6.36,58.5,59,8.73,59,59.5,7.37,59.5,60,8.93,60,60.5,9.5,60.5,61,11.5,61,61.5,11.7,61.5,62,7.3,62,62.5,6.3,62.5,63,4.4,63,63.5,3.08,63.5,64,2.27,64,64.5,1.57,64.5,65,1.02,65,9999,1.36
ism,62,61.6,-9999,58,1.9,58,58.5,1.6,58.5,59,2.6,59,59.5,3.9,59.5,60,5.87,60,60.5,9.13,60.5,61,9.51,61,61.5,7.98,61.5,62,10.42,62,62.5,12.08,62.5,63,8.95,63,63.5,8.72,63.5,64,6.9,64,64.5,4.4,64.5,65,2.69,65,65.5,1.56,65.5,66,0.86,66,9999,0.94
ism,59,59.8,-9999,56,3.7,56,56.5,2.8,56.5,57,4.1,57,57.5,5.4,57.5,58,6.33,58,58.5,9.66,58.5,59,7.4,59,59.5,8.85,59.5,60,10.77,60,60.5,11.25,60.5,61,9.6,61,61.5,7.3,61.5,62,4.35,62,62.5,3.08,62.5,63,2.18,63,63.5,1.38,63.5,64,0.82,64,9999,1.05
ism,58.5,58.7,-9999,54,1,54,54.5,1,54.5,55,1.7,55,55.5,2.8,55.5,56,4.1,56,56.5,5.4,56.5,57,6.3,57,57.5,7,57.5,58,7.4,58,58.5,7.5,58.5,59,13.95,59,59.5,12.16,59.5,60,9.89,60,60.5,7.51,60.5,61,3.6,61,61.5,1.9,61.5,62,1.1,62,9999,5.7
ism,56.8,58.9,-9999,55,4.6,55,55.5,3.1,55.5,56,4.6,56,56.5,6.5,56.5,57,8.4,57,57.5,10.4,57.5,58,12,58,58.5,7.3,58.5,59,7.5,59,59.5,7.3,59.5,60,6.8,60,60.5,6,60.5,61,5,61,61.5,3.9,61.5,62,2.7,62,62.5,1.7,62.5,63,1,63,9999,1.2
ism,57.8,56.5,-9999,53,3,53,53.5,2.6,53.5,54,4.2,54,54.5,6.3,54.5,55,5.5,55,55.5,6.2,55.5,56,8.8,56,56.5,7.1,56.5,57,7.1,57,57.5,9.2,57.5,58,6.1,58,58.5,7,58.5,59,7,59,59.5,7.1,59.5,60,5.1,60,60.5,3.3,60.5,61,2.1,61,9999,2.4
ism,58.6,58.3,-9999,54,3.4,54,54.5,1.8,54.5,55,2.4,55,55.5,3.2,55.5,56,4,56,56.5,5.5,56.5,57,5.7,57,57.5,8.1,57.5,58,7.9,58,58.5,10,58.5,59,10.1,59,59.5,9.5,59.5,60,8.4,60,60.5,5.9,60.5,61,4.6,61,61.5,3.4,61.5,62,2.4,62,9999,3.7
ism,56.4,57.3,-9999,53,2.5,53,53.5,2.1,53.5,54,3.4,54,54.5,3.8,54.5,55,5.4,55,55.5,7.1,55.5,56,8.7,56,56.5,9.2,56.5,57,9.8,57,57.5,10,57.5,58,9,58,58.5,8.4,58.5,59,7.2,59,59.5,5.5,59.5,60,3.7,60,60.5,2.2,60.5,61,1.1,61,9999,0.9
ism,55.3,56.7,-9999,53,2.5,53,53.5,1.9,53.5,54,3,54,54.5,4.4,54.5,55,6,55,55.5,7.7,55.5,56,9.4,56,56.5,10.7,56.5,57,10,57,57.5,7.4,57.5,58,7.5,58,58.5,7.1,58.5,59,6,59,59.5,5.2,59.5,60,4.2,60,60.5,2.8,60.5,61,2,61,9999,2.3
ism,55.2,54.8,-9999,51,2.3,51,51.5,1.8,51.5,52,3.3,52,52.5,3.9,52.5,53,5.1,53,53.5,5.9,53.5,54,6.5,54,54.5,6.9,54.5,55,8.3,55,55.5,8,55.5,56,9.9,56,56.5,8.8,56.5,57,7.3,57,57.5,6.6,57.5,58,4.9,58,58.5,3.3,58.5,59,2.2,59,9999,5
ism,53.3,55,-9999,51,1.6,51,51.5,1.6,51.5,52,2.7,52,52.5,4.4,52.5,53,6.5,53,53.5,8.9,53.5,54,11.2,54,54.5,13.2,54.5,55,7.6,55,55.5,7.4,55.5,56,7.4,56,56.5,6.7,56.5,57,5.6,57,57.5,4.8,57.5,58,4.1,58,58.5,2.6,58.5,59,1.8,59,9999,1.9
ism,51.4,51.9,-9999,48,4,48,48.5,2.5,48.5,49,3,49,49.5,3.7,49.5,50,4.7,50,50.5,5,50.5,51,8,51,51.5,14.8,51.5,52,15.6,52,52.5,7.1,52.5,53,7,53,53.5,6.8,53.5,54,5.5,54,54.5,4.3,54.5,55,3.1,55,55.5,2.1,55.5,56,1.3,56,9999,1.5
rsx,0.67,0.25,-9999,-0.6,10.5,-0.6,-0.5,4,-0.5,-0.4,2.39,-0.4,-0.3,3.24,-0.3,-0.2,3.8,-0.2,-0.1,11.57,-0.1,0,6.2,0,0.1,7.53,0.1,0.2,8.2,0.2,0.3,11.97,0.3,0.4,8.1,0.4,0.5,7.03,0.5,0.6,5.62,0.6,0.7,3.91,0.7,0.8,2.31,0.8,0.9,1.13,0.9,1,1,1,9999,1.5
