stat,rv,ex,LB1,UB1,PR1,LB2,UB2,PR2,LB3,UB3,PR3,LB4,UB4,PR4,LB5,UB5,PR5,LB6,UB6,PR6,LB7,UB7,PR7,LB8,UB8,PR8,LB9,UB9,PR9,LB10,UB10,PR10,LB11,UB11,PR11,LB12,UB12,PR12,LB13,UB13,PR13,LB14,UB14,PR14,LB15,UB15,PR15,LB16,UB16,PR16,LB17,UB17,PR17,LB18,UB18,PR18
rsx,0.26,0.47,-9999,-0.2,2.62,-0.2,-0.1,1.8,-0.1,0,2.47,0,0.1,4.26,0.1,0.2,6.85,0.2,0.3,5.2,0.3,0.4,5.7,0.4,0.5,6.3,0.5,0.6,7.94,0.6,0.7,13.14,0.7,0.8,11.64,0.8,0.9,6.98,0.9,1,8.85,1,1.1,4.25,1.1,1.2,4.9,1.2,1.3,3.9,1.3,9999,3.2,9999,9999,9999
rsx,0.2,0.27,-9999,-0.5,3.94,-0.5,-0.4,4.9,-0.4,-0.3,5.89,-0.3,-0.2,6,-0.2,-0.1,6.18,-0.1,0,6.6,0,0.1,9,0.1,0.2,10.3,0.2,0.3,14.2,0.3,0.4,11.94,0.4,0.5,6,0.5,0.6,5.2,0.6,0.7,3.7,0.7,0.8,2.5,0.8,0.9,1.6,0.9,1,0.9,1,9999,1.16,9999,9999,9999
rsx,0.37,0.37,-9999,-0.5,1.1,-0.5,-0.4,0.9,-0.4,-0.3,1.5,-0.3,-0.2,2.4,-0.2,-0.1,3.4,-0.1,0,4.6,0,0.1,6.56,0.1,0.2,10.54,0.2,0.3,13.9,0.3,0.4,13.8,0.4,0.5,9.88,0.5,0.6,6.51,0.6,0.7,5.8,0.7,0.8,5.2,0.8,0.9,4.6,0.9,1,3.4,1,9999,5.9,9999,9999,9999
rsx,0.12,0.41,-9999,-0.3,1.62,-0.3,-0.2,1.3,-0.2,-0.1,2.12,-0.1,0,3.68,0,0.1,6.42,0.1,0.2,12.86,0.2,0.3,8,0.3,0.4,8.27,0.4,0.5,13.2,0.5,0.6,10.79,0.6,0.7,8.03,0.7,0.8,6.1,0.8,0.9,5.4,0.9,1,4.4,1,1.1,3.1,1.1,1.2,2,1.2,9999,2.7,9999,9999,9999
rsx,0.87,0.56,-9999,-0.2,1.91,-0.2,-0.1,1.36,-0.1,0,2.32,0,0.1,3.79,0.1,0.2,5.97,0.2,0.3,9.17,0.3,0.4,5.4,0.4,0.5,6.73,0.5,0.6,8.03,0.6,0.7,9.23,0.7,0.8,7.09,0.8,0.9,6.92,0.9,1,13.1,1,1.1,6.97,1.1,1.2,4.2,1.2,1.3,3,1.3,9999,4.8,9999,9999,9999
rsx,0.21,0.2,-9999,-0.6,5.85,-0.6,-0.5,2.92,-0.5,-0.4,11.75,-0.4,-0.3,6.69,-0.3,-0.2,5.34,-0.2,-0.1,5.3,-0.1,0,5.41,0,0.1,6.5,0.1,0.2,6.6,0.2,0.3,7.68,0.3,0.4,7.53,0.4,0.5,7.09,0.5,0.6,4.5,0.6,0.7,4.03,0.7,0.8,3.37,0.8,0.9,2.7,0.9,1,2.09,1,9999,4.65
rsx,0.64,0.3,-9999,-0.6,1.26,-0.6,-0.5,1.08,-0.5,-0.4,1.78,-0.4,-0.3,2.75,-0.3,-0.2,3.99,-0.2,-0.1,5.45,-0.1,0,7,0,0.1,8.5,0.1,0.2,8.48,0.2,0.3,9.02,0.3,0.4,7.4,0.4,0.5,7.3,0.5,0.6,9.56,0.6,0.7,7.93,0.7,0.8,6.18,0.8,0.9,4.53,0.9,1,3.12,1,9999,4.67
rsx,0.93,0.6,-9999,-0.2,5.3,-0.2,-0.1,2.5,-0.1,0,3.3,0,0.1,3.9,0.1,0.2,4.3,0.2,0.3,4.7,0.3,0.4,6.4,0.4,0.5,7.3,0.5,0.6,7.7,0.6,0.7,7.9,0.7,0.8,9.1,0.8,0.9,8.4,0.9,1,7.3,1,1.1,6.1,1.1,1.2,4.8,1.2,1.3,3.7,1.3,1.4,2.6,1.4,9999,4.7
rsx,0.51,0.3,-9999,-0.6,4.7,-0.6,-0.5,1.8,-0.5,-0.4,2.4,-0.4,-0.3,3.6,-0.3,-0.2,4.6,-0.2,-0.1,5.9,-0.1,0,7.1,0,0.1,8,0.1,0.2,8.5,0.2,0.3,8.5,0.3,0.4,8,0.4,0.5,7.1,0.5,0.6,6,0.6,0.7,4.9,0.7,0.8,3.8,0.8,0.9,3.4,0.9,1,3,1,9999,8.9
rsx,0.29,0.5,-9999,-0.4,2.8,-0.4,-0.3,2.4,-0.3,-0.2,3.6,-0.2,-0.1,5.4,-0.1,0,7.6,0,0.1,10.1,0.1,0.2,6.1,0.2,0.3,6.9,0.3,0.4,6.5,0.4,0.5,8.3,0.5,0.6,7.1,0.6,0.7,6.9,0.7,0.8,6.7,0.8,0.9,5.7,0.9,1,4,1,1.1,3.5,1.1,1.2,2,1.2,9999,4.3
rsx,0.61,0.5,-9999,-0.3,5.8,-0.3,-0.2,2.3,-0.2,-0.1,2.9,-0.1,0,3.5,0,0.1,5.1,0.1,0.2,5.6,0.2,0.3,7,0.3,0.4,7.7,0.4,0.5,8.4,0.5,0.6,8.7,0.6,0.7,8.4,0.7,0.8,7.7,0.8,0.9,6.6,0.9,1,5.3,1,1.1,4,1.1,1.2,2.9,1.2,1.3,2.3,1.3,9999,5.8
rsx,0.4,0.8,-9999,0,6.5,0,0.1,3,0.1,0.2,4.6,0.2,0.3,6,0.3,0.4,5.2,0.4,0.5,6.3,0.5,0.6,6.8,0.6,0.7,7.3,0.7,0.8,8,0.8,0.9,10.5,0.9,1,7.4,1,1.1,6.6,1.1,1.2,5.4,1.2,1.3,4.2,1.3,1.4,3.2,1.4,1.5,2.6,1.5,1.6,1.9,1.6,9999,4.6
rsx,0.15,0.6,-9999,-0.3,1.6,-0.3,-0.2,1.3,-0.2,-0.1,2.1,-0.1,0,3.2,0,0.1,4.5,0.1,0.2,6,0.2,0.3,7.3,0.3,0.4,8.5,0.4,0.5,9.4,0.5,0.6,9.7,0.6,0.7,9.4,0.7,0.8,7.6,0.8,0.9,6,0.9,1,5.5,1,1.1,4.7,1.1,1.2,4,1.2,1.3,3,1.3,9999,6.2
rsx,1.07,0.5,-9999,-0.2,1.5,-0.2,-0.1,1.1,-0.1,0,1.7,0,0.1,2.5,0.1,0.2,3.5,0.2,0.3,5.2,0.3,0.4,6.5,0.4,0.5,7.4,0.5,0.6,8.7,0.6,0.7,9.4,0.7,0.8,9.2,0.8,0.9,8.7,0.9,1,8.5,1,1.1,6.3,1.1,1.2,6.3,1.2,1.3,5.1,1.3,1.4,3.4,1.4,9999,5.2
rsx,-0.19,0.2,-9999,-0.6,1.5,-0.6,-0.5,0.7,-0.5,-0.4,1.3,-0.4,-0.3,2.9,-0.3,-0.2,4.4,-0.2,-0.1,7.3,-0.1,0,12,0,0.1,9,0.1,0.2,7.8,0.2,0.3,8.9,0.3,0.4,8.6,0.4,0.5,7.3,0.5,0.6,6.4,0.6,0.7,6.4,0.7,0.8,5.5,0.8,0.9,3.9,0.9,1,2.6,1,9999,3.7
icl,344,352,-9999,320,1.77,320,325,1.07,325,330,1.64,330,335,3.32,335,340,6.7,340,345,10.5,345,350,11.5,350,355,12,355,360,11.3,360,365,9.7,365,370,16.05,370,375,6.54,375,380,3.24,380,9999,4.67,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,350,344,-9999,320,2.92,320,325,2.89,325,330,5.51,330,335,9.83,335,340,16.96,340,345,10.4,345,350,14.77,350,355,14.17,355,360,8.86,360,365,5.8,365,370,3.8,370,375,2.2,375,380,1.1,380,9999,0.8,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,336,344,-9999,310,0.14,310,315,0.3,315,320,0.96,320,325,2.2,325,330,4.59,330,335,11.81,335,340,17,340,345,17,345,350,13,350,355,15.8,355,360,8,360,365,5,365,370,2.5,370,9999,1.7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,339,338,-9999,310,0.28,310,315,0.49,315,320,1.35,320,325,3.7,325,330,9.69,330,335,19.12,335,340,23.52,340,345,16.34,345,350,11.5,350,355,8,355,360,3.9,360,365,1.5,365,370,0.5,370,9999,0.11,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,328,338,-9999,320,2.9,320,325,5,325,330,9.3,330,335,12.2,335,340,38.7,340,345,12.6,345,350,9.9,350,355,5.8,355,360,2.5,360,9999,1.1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,360,332,-9999,315,3.6,315,320,5.9,320,325,9.8,325,330,11.9,330,335,19.4,335,340,11.9,340,345,15,345,350,7.5,350,355,12.89,355,9999,2.11,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,353,345,-9999,320,4.65,320,325,5.59,325,330,12.26,330,335,9.5,335,340,11.1,340,345,11.3,345,350,15.84,350,355,8.65,355,360,9.78,360,9999,11.33,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,338,344,-9999,325,4.6,325,330,5.2,330,335,8.2,335,340,15.8,340,345,18.05,345,350,15.15,350,355,19.84,355,360,6.86,360,365,3.6,365,9999,2.7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,331,323,-9999,305,10,305,310,6,310,315,10.2,315,320,15.8,320,325,16,325,330,11.9,330,335,11.84,335,340,10.23,340,345,4.7,345,350,2.1,350,355,0.8,355,9999,0.43,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,345,326,-9999,300,1.3,300,305,2,305,310,4.1,310,315,6.9,315,320,11.49,320,325,13.81,325,330,19.19,330,335,10.71,335,340,22,340,345,4.6,345,350,2.4,350,9999,1.5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,344,336,-9999,310,1.3,310,315,2,315,320,4.1,320,325,7.66,325,330,14.94,330,335,16.56,335,340,15,340,345,19.81,345,350,10.13,350,355,4.6,355,360,2.4,360,9999,1.5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,352,333,-9999,310,1.3,310,315,2.2,315,320,6,320,325,7.08,325,330,11.98,330,335,17.65,335,340,18.78,340,345,14.95,345,350,8.05,350,355,7.23,355,360,3,360,9999,1.76,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,336,341,-9999,315,3.3,315,320,4.1,320,325,7.48,325,330,18.12,330,335,12,335,340,15.56,340,345,10.83,345,350,8.61,350,355,9.8,355,360,4.2,360,365,3.98,365,9999,2.02,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,349,337,-9999,315,1.3,315,320,2,320,325,4.1,325,330,6.9,330,335,13.26,335,340,20.02,340,345,21.43,345,350,14.55,350,355,7.88,355,360,4.6,360,365,2.46,365,9999,1.5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,310,341,-9999,315,4.5,315,320,2.5,320,325,6,325,330,8,330,335,17,335,340,14.32,340,345,14.32,345,350,12.37,350,355,9.1,355,360,6,360,365,3.4,365,9999,2.5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,349,339,-9999,315,1.1,315,320,1.5,320,325,2.8,325,330,4.7,330,335,6.9,335,340,9,340,345,11.03,345,350,13.29,350,355,14.63,355,360,15.03,360,365,11.1,365,370,5.12,370,375,2.24,375,9999,1.56,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,339,351,-9999,325,2.6,325,330,3.4,330,335,2.48,335,340,4.12,340,345,6.9,345,350,9,350,355,10.4,355,360,6.7,360,365,9.4,365,370,7.4,370,375,15.34,375,380,9.26,380,385,7.37,385,9999,5.63,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,345,340,-9999,320,2.6,320,325,2.8,325,330,5.13,330,335,9.77,335,340,16.8,340,345,10.71,345,350,11.19,350,355,14,355,360,11,360,365,5.9,365,370,3.1,370,9999,7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,331,338,-9999,315,2.52,315,320,3.48,320,325,5.4,325,330,8.5,330,335,12.12,335,340,14.26,340,345,17.7,345,350,15.3,350,355,9.26,355,360,5.45,360,365,3.45,365,9999,2.55,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,331,334,-9999,310,0.98,310,315,2.03,315,320,4.78,320,325,9.18,325,330,23.02,330,335,14.71,335,340,15.08,340,345,14.2,345,350,7.57,350,355,3.46,355,360,3,360,9999,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,343,329,-9999,310,2,310,315,1.6,315,320,3.2,320,325,5.4,325,330,9.71,330,335,13.23,335,340,16.06,340,345,18.22,345,350,14.42,350,355,7.16,355,360,4,360,9999,5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,319,347,-9999,320,0.8,320,325,1.6,325,330,4.3,330,335,14.4,335,340,10.4,340,345,20.1,345,350,17.9,350,355,14.9,355,360,7.9,360,365,4.2,365,370,2.5,370,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,333,336,-9999,315,2.4,315,320,3,320,325,5.5,325,330,8.6,330,335,11.6,335,340,16.5,340,345,16.5,345,350,13.5,350,355,9,355,360,5.5,360,365,3,365,9999,5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,350,338,-9999,315,2.2,315,320,2.5,320,325,5,325,330,8.2,330,335,14.9,335,340,19.1,340,345,12.2,345,350,16,350,355,9,355,360,4.2,360,365,1.7,365,9999,5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,369,346,-9999,320,1.82,320,325,2.45,325,330,5.12,330,335,9.5,335,340,8.9,340,345,16.14,345,350,16.86,350,355,11.8,355,360,8.9,360,365,10,365,370,5.1,370,9999,3.4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,335,351,-9999,330,1.3,330,335,2.2,335,340,5.3,340,345,9,345,350,14.2,350,355,14.9,355,360,15.2,360,365,12.3,365,370,11.4,370,375,6.5,375,380,3.8,380,9999,4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,352,338,-9999,315,2.4,315,320,3.1,320,325,3.6,325,330,6.8,330,335,12.1,335,340,14,340,345,13.3,345,350,18.6,350,355,10,355,360,8,360,365,4.6,365,9999,3.6,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,329,345,-9999,325,2.4,325,330,3.6,330,335,6.8,335,340,10.4,340,345,13,345,350,13.3,350,355,14.1,355,360,19,360,365,8.9,365,370,3.9,370,375,2,375,9999,2.6,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,350,332,-9999,310,2.3,310,315,2.9,315,320,5.2,320,325,8,325,330,12,330,335,14.1,335,340,14.9,340,345,13,345,350,10.1,350,355,7.4,355,360,4.1,360,9999,6,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,332,340,-9999,315,1.6,315,320,2.6,320,325,5.3,325,330,9.2,330,335,13.2,335,340,16,340,345,16.6,345,350,14.3,350,355,10.1,355,360,6,360,365,3.1,365,9999,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,333,337,-9999,315,3.1,315,320,3.9,320,325,7.1,325,330,10.9,330,335,13.2,335,340,14.3,340,345,15.3,345,350,13.5,350,355,8.5,355,360,5.3,360,365,2.5,365,9999,2.4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,334,331,-9999,305,2.1,305,310,2.8,310,315,5.3,315,320,8.7,320,325,12.5,325,330,15.5,330,335,15.9,335,340,13.2,340,345,10.2,345,350,5.9,350,355,4.6,355,9999,3.2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,323,332,-9999,310,2.7,310,315,3.5,315,320,6.2,320,325,9.6,325,330,12.9,330,335,14.9,335,340,14.9,340,345,13.4,345,350,9.6,350,355,6.2,355,360,3.5,360,9999,2.7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,349,328,-9999,305,3,305,310,3.2,310,315,6.5,315,320,9.5,320,325,12.8,325,330,15.1,330,335,14.7,335,340,13.4,340,345,10,345,350,5.8,350,355,3.3,355,9999,2.7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,357,336,-9999,310,1.8,310,315,3.8,315,320,5,320,325,9.4,325,330,13.8,330,335,16.2,335,340,12.5,340,345,13.6,345,350,10.3,350,355,6.7,355,360,3.8,360,9999,3.1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,317,343,-9999,315,3,315,320,3.8,320,325,6.8,325,330,10.5,330,335,10.4,335,340,12.5,340,345,12,345,350,11.9,350,355,9.4,355,360,7.2,360,365,5.3,365,9999,7.3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,333,330,-9999,310,1,310,315,2.1,315,320,4.8,320,325,9,325,330,13.9,330,335,17.3,335,340,17.7,340,345,14.7,345,350,10,350,355,5.6,355,360,2.5,360,9999,1.3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,326,330,-9999,310,3.3,310,315,4.1,315,320,14.6,320,325,9.9,325,330,13.1,330,335,16.2,335,340,15.7,340,345,10.9,345,350,7,350,355,3.4,355,360,1.3,360,9999,0.5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,364,329,-9999,310,2.6,310,315,3.5,315,320,6,320,325,9,325,330,12.7,330,335,15,335,340,14.7,340,345,13.9,345,350,9.9,350,355,6.3,355,360,4.1,360,9999,2.4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,367,341,-9999,315,1.5,315,320,2,320,325,3.4,325,330,5.6,330,335,9,335,340,12.7,340,345,11.1,345,350,9.5,350,355,10.4,355,360,10.5,360,365,9.4,365,9999,14.9,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,319,342,-9999,320,2.6,320,325,3.3,325,330,5.9,330,335,9.1,335,340,12.6,340,345,14.3,345,350,15.5,350,355,12.2,355,360,9.7,360,365,6.2,365,370,4.5,370,9999,4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,325,330,-9999,305,1,305,310,2,310,315,3.5,315,320,7.5,320,325,12.6,325,330,17.1,330,335,18.3,335,340,17.2,340,345,10.8,345,350,6.7,350,355,2.4,355,9999,0.9,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,316,331,-9999,305,1,305,310,1.4,310,315,3.7,315,320,7.9,320,325,13.2,325,330,17.3,330,335,17.7,335,340,16,340,345,10.8,345,350,7,350,355,3,355,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,303,327,-9999,300,0.6,300,305,1.5,305,310,4,310,315,8.5,315,320,10.7,320,325,14,325,330,15.8,330,335,14,335,340,9.7,340,345,10.2,345,350,7.9,350,9999,3.1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,302,319,-9999,290,2.8,290,295,4.2,295,300,8,300,305,8.4,305,310,12,310,315,15.1,315,320,15.5,320,325,13.2,325,330,9.8,330,335,5.5,335,340,3.1,340,9999,2.4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,312,310,-9999,285,2,285,290,2.7,290,295,5.4,295,300,9.9,300,305,14.4,305,310,16.8,310,315,16.8,315,320,13.3,320,325,8.7,325,330,5.9,330,335,2.7,335,9999,1.4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,310,313,-9999,285,2.5,285,290,3.2,290,295,5.2,295,300,9.9,300,305,12.9,305,310,14.9,310,315,14.9,315,320,12.8,320,325,11.8,325,330,7.3,330,335,2.5,335,9999,2.2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,327,310,-9999,285,0.3,285,290,1,290,295,3.5,295,300,9,300,305,15.2,305,310,20.5,310,315,19.2,315,320,16.3,320,325,9,325,330,4.3,330,335,1.3,335,9999,0.4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,318,316,-9999,290,2.2,290,295,3.1,295,300,5.8,300,305,9.3,305,310,13.3,310,315,16.6,315,320,15.8,320,325,14,325,330,10,330,335,5.5,335,340,2.6,340,9999,1.9,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,324,317,-9999,290,2.1,290,295,1.8,295,300,4.1,300,305,7.9,305,310,12.6,310,315,17.3,315,320,18.3,320,325,13.9,325,330,10.1,330,335,4.8,335,340,2.8,340,9999,4.3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,350,319,-9999,295,1.9,295,300,2.7,300,305,5.1,305,310,8.7,310,315,13.4,315,320,16.2,320,325,15.5,325,330,17,330,335,9.4,335,340,5.4,340,345,2.7,345,9999,1.9,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,334,334,-9999,305,2.3,305,310,3.2,310,315,6,315,320,9.6,320,325,13.2,325,330,15.5,330,335,15.5,335,340,13.2,340,345,10,345,350,6,350,355,3.2,355,9999,2.3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,330,331,-9999,305,1.5,305,310,3,310,315,4.5,315,320,8.7,320,325,13.2,325,330,15.7,330,335,15.8,335,340,12.6,340,345,11.4,345,350,7.1,350,355,3.8,355,9999,2.7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,296,328,-9999,305,0.4,305,310,1.1,310,315,3.1,315,320,7.8,320,325,14.6,325,330,20.3,330,335,20.9,335,340,15.9,340,345,10.1,345,350,4.2,350,355,1.3,355,9999,0.4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,320,321,-9999,295,4,295,300,5.6,300,305,10.5,305,310,14,310,315,11.7,315,320,13.7,320,325,13.7,325,330,11.5,330,335,7.2,335,340,4.5,340,345,2.2,345,9999,1.7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,333,324,-9999,300,2.8,300,305,4.2,305,310,6.8,310,315,9.4,315,320,12.5,320,325,13.2,325,330,13.5,330,335,8.7,335,340,14,340,345,8.9,345,350,4,350,9999,2.1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,340,324,-9999,300,2.5,300,305,2.8,305,310,4.6,310,315,7.5,315,320,11.7,320,325,12,325,330,13.4,330,335,13.6,335,340,12.7,340,345,9.5,345,350,5.6,350,9999,4.2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,321,329,-9999,305,2,305,310,2.9,310,315,5.4,315,320,8.7,320,325,13.1,325,330,15.4,330,335,15.4,335,340,13.6,340,345,9.6,345,350,7.3,350,355,3.9,355,9999,2.8,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,323,326,-9999,300,2.3,300,305,3.3,305,310,6.2,310,315,9.9,315,320,13.6,320,325,15.9,325,330,15.9,330,335,12.7,335,340,9.3,340,345,6,345,350,2.8,350,9999,2.2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,350,327,-9999,300,2.3,300,305,3,305,310,5.2,310,315,8.3,315,320,14,320,325,17.5,325,330,17.9,330,335,13.5,335,340,9.2,340,345,4.7,345,350,2.4,350,9999,1.9,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,330,330,-9999,305,4,305,310,3.1,310,315,5.9,315,320,10,320,325,12.7,325,330,15.3,330,335,14.7,335,340,12.2,340,345,8.6,345,350,7.4,350,355,3.9,355,9999,2.2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,333,331,-9999,305,1.3,305,310,2.2,310,315,4.4,315,320,8.3,320,325,13.8,325,330,17.8,330,335,18.2,335,340,15.2,340,345,9.4,345,350,5.2,350,355,2.5,355,9999,1.7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,314,331,-9999,305,2,305,310,2.6,310,315,5.1,315,320,9.2,320,325,11.8,325,330,14.4,330,335,14.9,335,340,14,340,345,12.2,345,350,7.4,350,355,3.8,355,9999,2.5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
icl,310,325,-9999,300,3.6,300,305,3.6,305,310,5.7,310,315,8.3,315,320,14.6,320,325,17.6,325,330,17.9,330,335,11.1,335,340,8,340,345,4.9,345,350,2.6,350,9999,2.3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
